,accuracy,time,dataset_name,classifier_name,rpoint,nb_per_class,method,len_method
132,0.8688046647230321,0.05285787582397461,Chinatown,ACF&PACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,ACF&PACF
133,0.45481049562682213,0.026958227157592773,Chinatown,ACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,ACF
134,0.9504373177842566,0.03989410400390625,Chinatown,PACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,PACF
135,0.3673469387755102,0.0189511775970459,Chinatown,None: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,None
136,0.8483965014577259,0.024934768676757812,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
137,0.46938775510204084,0.012967109680175781,Chinatown,ACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF
138,0.9271137026239067,0.022940397262573242,Chinatown,PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,PACF
139,0.49271137026239065,0.015957117080688477,Chinatown,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
140,0.9825072886297376,0.1326448917388916,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
141,0.4752186588921283,0.05285811424255371,Chinatown,ACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF
142,0.9766763848396501,0.11170029640197754,Chinatown,PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,PACF
143,0.3848396501457726,0.047872304916381836,Chinatown,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
144,0.7988338192419825,0.013963937759399414,Chinatown,ACF&PACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,ACF&PACF
145,0.685131195335277,0.00897526741027832,Chinatown,ACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,ACF
146,0.8658892128279884,0.011965036392211914,Chinatown,PACF: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,PACF
147,0.5947521865889213,0.009974479675292969,Chinatown,None: n_random_points=1 nb_inst_per_class=1,1,1,Rsast,None
148,0.9271137026239067,0.04388308525085449,Chinatown,ACF&PACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,ACF&PACF
149,0.4110787172011662,0.019945383071899414,Chinatown,ACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,ACF
150,0.8775510204081632,0.036902427673339844,Chinatown,PACF: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,PACF
151,0.3673469387755102,0.013963460922241211,Chinatown,None: n_random_points=1 nb_inst_per_class=10,1,10,Rsast,None
152,0.9504373177842566,0.02194046974182129,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF&PACF
153,0.3935860058309038,0.01296377182006836,Chinatown,ACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,ACF
154,0.9475218658892128,0.018956899642944336,Chinatown,PACF: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,PACF
155,0.4198250728862974,0.012965202331542969,Chinatown,None: n_random_points=10 nb_inst_per_class=1,10,1,Rsast,None
156,0.9825072886297376,0.13564825057983398,Chinatown,ACF&PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF&PACF
157,0.43440233236151604,0.061833858489990234,Chinatown,ACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,ACF
158,0.9854227405247813,0.12865638732910156,Chinatown,PACF: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,PACF
159,0.43440233236151604,0.0548548698425293,Chinatown,None: n_random_points=10 nb_inst_per_class=10,10,10,Rsast,None
